Teks;Label
Video Guru di Grobogan Lakukan Pelecehan Seksual Terhadap Murid;SALAH
Video â€œMakanan Mengandung Babi, Gerai Mie Gacoan Disegelâ€;SALAH
Aksi Mahasiswa #IndonesiaGelap Dibiayai USAID;SALAH
Siswa SD di Papua Meninggal, Keracunan Usai Makan Bergizi Gratis;SALAH
Sertifikat Elektronik Itu Rencana Mafia Tanah Hapus Sertifikat SHM;SALAH
Infografis Struktur Organisasi Danantara, Ada Jokowi dan Kaesang;SALAH
Rekrutmen Calon Asesor PPG dan Jabatan Akademik Dosen LLDikti;PENIPUAN
Video Banjir dan Longsor di Dieng;SALAH
Sertifikat Kepemilikan Laut Atas Nama Anies Baswedan dan Said Didu;SALAH
Sidang Senat AS Yang Dihadiri Donald Trump Dibuka Dengan Lantunan Ayat Al Quran;SALAH
Fenomena Hujan Jeli di Gorontalo;SALAH
Penjemputan Yudis Anak Yatim Piatu yang Diarak Warga Akibat Mencuri Pisang;SALAH
Mobil Terbakar Jalan Sendiri Dikemudikan Arwah;SALAH
Tautan â€œBansos dari CEO Telegramâ€;PENIPUAN
Prabowo Minta Maaf soal Kelangkaan Gas LPG 3 Kg;SALAH
Mahasiswa Bagi-Bagi Uang ke Demonstran #IndonesiaGelap;SALAH
Tautan Lowongan Kerja LPPOM MUI;PENIPUAN
Tautan Rekrutmen PT Paragon Technology and Innovation;PENIPUAN
Iran Memindahkan Rudal Supersonik untuk Persiapan Menyerang Israel;SALAH
Demo Indonesia Gelap Tidak Ada Stasiun Televisi yang Meliput;SALAH
Tautan Daftar â€œGebyar Undian Tabungan Simpeda Bank BPD DIYâ€;PENIPUAN
Tautan â€œLayanan Gratis Pembuatan/Perpanjangan SIM hingga STNKâ€;PENIPUAN
Tautan Pendaftaran Beasiswa Unggulan Bank Indonesia;PENIPUAN
Tautan Pendaftaran â€œBantuan Bor Sumur dari Kementerian ESDMâ€;PENIPUAN
Tautan â€œPendaftaran Mitra Makan Bergizi Gratisâ€;PENIPUAN
Tautan Pendaftaran Lowongan Pekerjaan Wilmar Group;PENIPUAN
Akun Instagram Akurat.co;PENIPUAN
Video Sandra Dewi Menangis Mendengar Putusan Suaminya;SALAH
Perdana Menteri Mesir Merobek Dokumen Perjanjian Damai dengan Israel;SALAH
Tautan Lowongan Kerja PT Sentosa Laju Sejahtera;PENIPUAN
Polri Meresmikan SIM dan STNK Berlaku Seumur Hidup;PENIPUAN
Aliansi Rakyat Solo Melakukan Aksi di Depan Rumah Jokowi Februari 2025;SALAH
Tautan Daftar â€œListrik Gratis untuk Masyarakat Tidak Mampuâ€;PENIPUAN
Tutup Segel Aqua Rusak karena Disuntik Formalin;SALAH
Performa Buruk Patrick Kluivert Memimpin Timnas, Kantor PSSI Didemo;SALAH
Erick Thohir Tunjuk Shin Tae-yong Gantikan Indra Sjafri Latih U-20;SALAH
Prabowo Sahkan Hukuman Mati untuk Kepala Daerah Koruptor;SALAH
China Ganti Nama Jalan di Indonesia;SALAH
Tautan â€œPendaftaran Medical Check Up Gratis dari Pemerintahâ€;PENIPUAN
Rekrutmen Calon Anggota Bawaslu via WhatsApp;PENIPUAN
Ikan Anglerfish Pertama Kali Muncul di Permukaan;SALAH
Potret â€œAnies Diseret KPK karena Skandal Korupsi Rp23 Triliunâ€;SALAH
Video â€œJalan Retak Akibat Gempa Diengâ€;SALAH
Tautan Rekrutmen Awak Kabin Haji Garuda Indonesia;PENIPUAN
Tautan â€œPendaftaran Program Bantuan Ibu Bersalin (BIB)â€;PENIPUAN
Penghapusan Sila ke-4 Pancasila di HUT Gerindra;SALAH
Tautan â€œPendaftaran Lowongan Kerja Driver Gojekâ€;PENIPUAN
Video Demo di Malioboro pada Februari 2025;SALAH
Tautan Pendaftaran Penerima Gas LPG 3 Kg;PENIPUAN
Penampakan Arca Monster OCCRP yang Menelan Anggaran APBD Medan;SALAH
Tip Memutihkan Wajah Pakai Pasta Gigi;SALAH
Prabowo Potong Gaji DPR Sebesar 90 Persen;SALAH
Tautan Lowongan Kerja Siloam Hospital Group;PENIPUAN
Tautan â€œPendaftaran Sertifikat Tanah Elektronikâ€;PENIPUAN
Tanah Tanpa Sertifikat Elektronik Bakal Jadi Milik Negara;SALAH
Tautan Pendaftaran Bantuan Khusus Tunai Ibu Hamil;PENIPUAN
Dokumentasi â€œPolisi Turun Tangan, Larang Ormas Bentangkan Bendera Merah Putih di Jembatan PIKâ€;SALAH
Erick Thohir Naturalisasi Bintang Muda Real Madrid Arda GÃ¼ler;SALAH
Lagu Iwan Fals dengan Lirik â€œSi Bocil Tengil Menjadi Wakilâ€;SALAH
Dolar Anjlok ke Rp8.170;SATIRE
Saldo Kartu E-Toll Gratis dari Jasa Marga;PENIPUAN
Tembok Besar China Dibuat untuk Mengurung China;SALAH
Tautan â€œDaftar Ulang Kartu BPJS Pasca Penghapusan Kelasâ€;PENIPUAN
Prabowo Mengesahkan Hukuman Mati untuk Koruptor;SALAH
Foto â€œGas Elpiji Kemasan Sasetâ€;SATIRE
Tautan â€œPendaftaran Pembagian Kartu Sembako Bulan Ramadanâ€;PENIPUAN
Wakil Direktur CDC Akui Vaksin Covid Bikin Tubuh Lemah dan Mudah Sakit;SALAH
Rekrutmen Petugas Sensus Pertanian 2025;PENIPUAN
Kemenag Buka Pendaftaran Haji Gratis untuk Ratusan Orang;PENIPUAN
Tautan â€œPendaftaran Bantuan Usahaâ€ dari Kementerian UMKM;PENIPUAN
Erling Haaland Bakal Perkuat Timnas Indonesia;SALAH
Tautan Loker Proyek Strengthening Indonesiaâ€™s Healthcare Referral Network (SIHREN) Kemenkes;PENIPUAN
Tautan Pendaftaran Agen Pangkalan Gas LPG Pertamina;PENIPUAN
Video â€œTabung LPG Dimusnahkan karena Beralih ke DMEâ€;SALAH
Pemerintah Sembunyikan Data Utang;SALAH
Dana Haji 2022 Dipakai untuk Pembangunan IKN;SALAH
Tautan Bantuan untuk Pekerja Bergaji di Bawah Rp5 Juta;PENIPUAN
Lowongan Kerja Pertamina Training & Consulting;PENIPUAN
Prabowo Pecat Menteri KKP Sakti Wahyu Trenggono;SALAH
Donald Trump Bantu Padamkan Kebakaran di Los Angeles;SALAH
Warga Palestina Mengungsi Menuju Mesir & Yordania;SALAH
Los Angeles Dilanda Tsunami Usai Kebakaran Mereda;SALAH
Potret â€œJejak Digital Peresmian Pagar Lautâ€;SALAH
LPG Bright Gas 3 Kg Non Subsidi Bakal Gantikan Gas Melon;SALAH
Hotel Grand Hyatt Jakarta Dijual Rp12,5 Triliun;SALAH
Tautan Pendaftaran Fasilitator Program TEKAD 2025;PENIPUAN
Makan Durian Usai Minum Obat, Warga Muntah Darah dan Meninggal;SALAH
Titiek Soeharto Turun Tangan Buru Jokowi Terkait Polemik Pagar Laut;SALAH
â€œBambu mudah di cabut nelayan & rakyat korporasi tak kehabisan akal liciknyaâ€;SALAH
Vaksin Itu Agenda untuk Bikin Manusia Jadi Pasukan Dajjal;SALAH
Akun Facebook â€œSafaruddin Centreâ€ Milik Bupati Aceh Barat Daya;PENIPUAN
Video Buaya Masuk Rumah saat Banjir di Bekasi;SALAH
Sekolah Libur Selama 45 Hari saat Bulan Ramadan;SALAH
Tautan dan Nomor WA â€œPengaduan Penipuan Onlineâ€;PENIPUAN
Tautan Loker Pegawai Pemerintah Non Pegawai Negeri (PPNPN);PENIPUAN
Pernyataan Budie Arie Ancam Bongkar Rahasia Negara;SALAH
Prabowo Susun RUU untuk Penjarakan Pejabat Penghina Rakyat;SALAH
Dana Zakat Dikorupsi Kepala Baznas;SALAH
Tautan Pendaftaran â€œTHR dan Sembako Jelang Hari Rayaâ€;PENIPUAN
Demonstrasi Pengesahan UU TNI #BubarkanDPRRI;SALAH
Shin Tae-yong Kembali Pimpin Latihan Timnas Indonesia;SALAH
Tautan â€œUndian dari Bank Jatim untuk Pengguna Jconnect Mobileâ€;PENIPUAN
Tautan Lowongan Kerja PT Ajinomoto Indonesia;PENIPUAN
Pendaftaran Lowongan Kerja Indomaret Lewat WA;PENIPUAN
Tautan Lowongan Kerja McDonaldâ€™s Indonesia;PENIPUAN
Tautan â€œRekrutmen Kementerian Kesehatanâ€;PENIPUAN
Raffi Ahmad: Metode Air Garam Jadi Program Nasional Perangi Diabetes;PENIPUAN
Video â€œSindikat Pembiusan di Mal untuk Perdagangan Organâ€;SALAH
Maarten Paes Dicoret dari Timnas Indonesia;SALAH
Tautan Daftar â€œBansos PKH, BPNT, dan BLT Miskin Ekstremâ€;PENIPUAN
Video â€œGenangan Air di Jalan Rusak Dijadikan Lahan Sawahâ€;SALAH
Pembongkaran Patung Naga di Aceh;SALAH
Keluarga Jokowi Terlibat Kasus Korupsi Pertamina;BELUM TERBUKTI
Raffi Ahmad Bagi-Bagi Bantuan untuk Tenaga Kerja Indonesia;PENIPUAN
Ajakan untuk Tarik Uang sebelum Hal Buruk Terjadi;SALAH
Ketua DPR Puan Maharani Tolak RUU Perampasan Aset;SALAH
Akun WA Disdukcapil Minta Aktivasi IKD Lewat Telepon;PENIPUAN
Hotman Paris Promosi Laman Judi Miliknya;PENIPUAN
Ridwan Kamil Jadi Tersangka Skandal Korupsi Bank BJB;SALAH
Blood Moon Jadi Pertanda Gempa Bumi dan Tsunami Dahsyat;SALAH
Tautan Pendaftaran Gebyar Undian Bank Mandiri;PENIPUAN
Pagar Laut Diganti Jadi Pagar Beton;SALAH
Erick Thohir Bakal Ganti Patrick Kluivert Usai Timnas Kalah Lawan Australia;SALAH
